NumCompte,CodeClient,Solde
00001,10101,5200
00002,20202,3500
00003,30303,2200
00004,65140,8100
00005,41325,700
00006,30650,400
00007,20422,3200
00008,93355,8600
00009,26563,1300
00010,63060,2500
00011,17552,8200
00012,27233,6900
00013,15396,0
00014,18858,5700
00015,13290,5000
00016,80270,2100
00017,65021,500
00018,71956,4900
00019,83924,4200
00020,52041,800
00021,42883,1800
00022,91448,3400
00023,48553,5800
00024,30004,4160
00025,89739,0
00026,38624,6900
00027,37699,1300
00028,29611,500
00029,47520,9700
00030,55856,2800
