NumCompte,CodeClient,NumCarte,CodeSecret,DateExpiration,EtatCarte
1,10101,4913-6509-9831-3852,6951,2026-05-24,True
2,20202,4175-0010-8242-9258,3943,2026-08-02,True
3,30303,4917-3575-5429-1698,3224,2025-07-06,False
4,65140,4026-4017-0822-5208,2087,2025-06-10,True
5,41325,4508-6682-3239-0115,6555,2025-01-11,True
6,30650,4175-0075-9872-3753,8838,2023-06-11,True
7,20422,4917-0413-3300-3968,4030,2022-09-18,True
8,93355,4844-4066-7100-9315,6557,2023-02-14,True
9,26563,4175-0041-5651-4427,8010,2024-03-12,False
10,63060,4913-1042-6204-0676,3227,2025-01-27,True
11,17552,4917-1458-8910-2288,7911,2024-12-29,True
12,27233,4917-6527-9459-8229,9162,2026-01-05,False
13,15396,4175-0042-4856-9678,6422,2024-12-04,False
14,18858,4026-7867-5746-9081,9186,2022-07-16,True
15,13290,4026-7279-6547-7748,7594,2026-03-16,True
16,80270,4917-3430-9651-5570,9789,2023-08-18,True
17,65021,4175-0073-0640-3037,3874,2024-07-08,True
18,71956,4508-0194-4642-8673,2177,2024-12-03,False
19,83924,4917-4420-1332-4445,2345,2023-02-17,True
20,52041,4917-3270-9208-1778,7327,2024-10-22,False
21,42883,4844-9772-0135-4991,7203,2024-04-18,True
22,91448,4175-0085-2773-3673,8760,2023-04-18,True
23,48553,4913-9239-8405-2457,7397,2024-03-03,True
24,30004,4913-7426-1953-5888,5934,2023-08-03,True
25,89739,4175-0019-3788-3295,4671,2024-06-19,False
26,38624,4913-5824-1660-6734,9017,2024-02-08,True
27,37699,4508-4507-9819-0498,4103,2025-05-10,False
28,29611,4508-9858-7994-0824,8795,2023-05-20,False
29,47520,4508-6806-7227-8536,1630,2024-07-22,True
30,55856,4175-0095-5926-6806,3167,2025-12-11,False
