card,pin,date,bool
4508-1786-5052-6083,6993,,True
4026-5070-4275-5542,7252,2022-01-03,True
4917-4657-8586-5683,5220,2021-06-13,True
4175-0070-7708-6904,5004,2024-02-20,False
4508-1285-8235-4633,2557,2023-01-06,True
4175-0020-0047-3725,1303,2024-01-30,True
4917-9497-4947-2371,5232,2022-01-27,False
4917-1627-7030-5250,7874,2023-06-03,False
4026-0429-5136-4599,2211,2021-10-31,True
4917-0565-8406-9211,1176,2021-06-06,True
4844-4131-9432-4353,9648,2023-07-08,False
4175-0048-3604-8135,5767,2024-05-20,True
4913-3087-5558-0292,2403,2023-05-14,True
4844-5642-0603-5930,2113,2023-10-08,False
4508-1313-7425-0654,2292,2024-03-07,True
4026-2246-1933-9144,6706,2024-06-26,False
4175-0071-6466-1429,8099,2023-12-04,False
4175-0098-2476-4569,6155,2022-09-17,False
4844-0765-7329-2127,3241,2024-04-18,False
4913-0976-4548-2252,9623,2024-05-26,False
4508-0681-7586-2958,1472,2023-11-27,True
4913-7232-8314-3183,2032,2023-04-16,False
4026-6263-5853-3416,3294,2022-04-19,True
4844-6290-5616-4286,7202,2023-12-17,True
4508-5265-9143-5907,2185,2023-11-28,True
4508-7746-7326-8099,1784,2022-01-21,False
4917-1451-2188-9726,4122,2021-09-13,False
4026-2886-2227-3681,7088,2022-11-28,True
4175-0035-2531-0343,4689,2024-07-02,False
4175-0051-3508-7138,1641,2022-01-08,False
4026-8533-7246-2584,2625,2022-02-21,False
4508-0135-9553-1924,7831,2024-08-20,False
4844-0813-1495-7657,2603,2022-06-18,True
4175-0057-3439-3531,4208,2024-07-07,False
4913-5973-8746-6686,2436,2022-10-10,True
4913-4586-5485-7075,4784,2023-02-20,True

Al-jojoba

4913-6529-2863-7608,9699,2023-10-07,False
4844-0023-6671-9472,8467,2023-07-24,False
4026-7421-0719-4242,7623,2021-06-06,True
4175-0048-1179-8415,8110,2022-08-12,True
4913-3159-0043-7096,1936,2023-03-09,True
4026-7329-6957-9598,9892,2022-06-01,False
4844-8813-7464-2978,3852,2023-08-04,False
4026-7951-7030-7570,2495,2024-01-29,False
4508-5358-4571-4686,8986,2022-07-02,False
4175-0070-2107-2455,7088,2023-02-07,False
4175-0047-3098-4070,8714,2022-09-25,False
4175-0062-8055-3650,8039,2023-11-15,False
4175-0069-6903-6639,3641,2022-02-18,False
4844-5044-3102-3384,6736,2024-06-10,True
4175-0009-5800-1324,2784,2023-08-30,False
4026-2022-1604-7625,8136,2024-01-20,True
4508-0303-4573-7668,6086,2022-09-16,False
4175-0045-3320-9709,4546,2021-07-17,False
4913-7988-9920-5931,3363,2022-01-14,False
4844-8125-6451-8579,6419,2022-12-09,True
4917-2858-9937-2586,2577,2021-09-30,False
4844-5343-8136-0692,4268,2024-01-11,False
4917-5801-2525-4164,1967,2022-06-23,False
4917-0416-9119-1926,8149,2021-06-23,False
4844-0798-4708-9451,5431,2021-08-01,True
4508-3396-7974-4830,7398,2023-12-07,False
4026-5197-0556-4657,3525,2024-06-16,False
4508-5186-0531-9201,1350,2023-06-22,False
4844-1696-6623-8865,4551,2022-08-11,False
4175-0004-9209-7721,7957,2024-02-12,True
4508-1641-0840-0089,5767,2023-08-23,False
4175-0093-9648-9660,9554,2022-06-24,True
4175-0064-6738-8326,2411,2021-08-21,False
4175-0049-3888-1748,4348,2022-04-26,False
4913-1692-9834-0929,1144,2023-07-01,False
4175-0089-2000-6511,6256,2024-07-19,True
4175-0023-3367-2928,5538,2021-09-13,True
4913-2900-6513-0754,1503,2022-10-05,False
4917-0690-2712-0988,1746,2021-06-21,True
4917-2998-8570-2946,4990,2021-06-02,True
4026-0825-5055-2392,3554,2024-01-31,True
4844-3357-9555-5897,7168,2024-05-14,True
4917-0022-0773-9210,5170,2022-11-16,False
4917-9448-6751-4823,3325,2023-01-21,True
4844-8072-4349-1883,4801,2024-01-15,True
4026-3437-8190-0267,4726,2021-08-21,True
4844-5706-3405-3254,6670,2022-03-29,True
4508-9139-4537-7177,8266,2022-06-18,True
4175-0093-4663-7715,5633,2024-03-16,False
4026-8559-2954-9839,1965,2022-01-11,False
4175-0099-6648-3036,1803,2022-11-13,True
4844-2207-7311-6013,2515,2022-12-28,False
4844-8030-7107-9973,5256,2023-01-03,False
4917-0626-7261-2938,2126,2021-06-28,True
4026-4136-3409-5126,1163,2024-02-09,False
4508-7451-4305-2859,8535,2021-11-03,False
4913-9729-5843-9588,8154,2021-08-27,False
4913-7726-5145-6644,2028,2023-12-02,False
4844-4442-6234-7307,6358,2024-08-12,False
4913-8527-6039-0742,7991,2021-09-02,True
4917-3996-6828-7949,7875,2024-02-26,False
4026-1027-4119-2278,3761,2021-09-04,False
4917-8706-9612-8628,2982,2021-09-12,True
